"","B_R-B2_1_5404","B_R-B3_1_5405","B_R-B4_1_5406","B_R-D5_1_5407","B_R-D6_1_5408","B_R-D7_1_5409","B_R-D8_1_5410","B_R-D9_1_5411","B_R-E1_1_5412","B_R-E2_1_5413","L_R-E3_1_5424","L_R-E4_1_5425","L_R-E5_1_5426","L_R-E6_1_5427","L_R-E7_1_5428","L_R-E8_1_5429","L_R-F2_1_5433","L_R-F3_1_5434","M_R-E9_1_5435","M_R-F1_1_5436","M_R-F2_1_5437","M_R-F2_1_5439","M_R-F3_1_5438","M_R-F3_1_5440","P_R-C1_1_5414","P_R-C2_1_5415","P_R-C3_1_5416","P_R-C4_1_5417","P_R-C5_1_5418","P_R-C6_1_5419","P_R-C7_1_5420","P_R-C8_1_5421","P_R-C9_1_5422","P_R-D1_1_5423"
"A0A087WRI3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.53493068596749,5.60786899403954,NA,5.12074251213698,2.18747165404901,NA,7.04791796254582,12.274435280582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A0A0B4J1G0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.196023861006894,1.09252571171944,NA,NA,NA,NA,0.670913596941661,0.653935275398916,2.40348243375347,2.30006792328592,1.7429569414142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A0A0G2JDV3",1.31746002698819,3.86285592351921,NA,1.94514506212654,2.03297106337543,1.32108299297969,NA,3.20922948444284,NA,NA,2.07158446411799,1.73206854467407,NA,0.625962461397748,NA,1.17867828217878,2.45348091816999,1.38948612470078,1.08550341524421,2.04564606025368,3.59827072826991,NA,1.3328017513234,NA,NA,NA,NA,0.915233477995696,NA,NA,NA,2.02418251124817,NA,NA
"A0A140LI67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.65473525239943,NA,NA,NA,NA,1.89717178203518,0.118747493475035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A0A140LIF8",NA,NA,NA,NA,NA,NA,NA,1.51592060949433,NA,NA,NA,NA,NA,NA,NA,NA,0.566914076170899,NA,0.994056330024253,1.17601718987418,1.30528350710969,3.51090674800444,1.09772747055614,1.94391248734604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A0A1L1SUL6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.228889344566864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A0A1W2P872",2.73890214722667,2.17203474122266,2.44386895325686,1.90404089966468,2.0735018319256,5.01531418963241,1.77777585651655,2.9099328164356,1.70303205004714,1.77695985031499,1.73806732112892,1.79911143356251,NA,1.45059193947264,0.357649716150354,NA,NA,2.38055866131717,NA,NA,NA,NA,NA,NA,NA,NA,1.18453109196903,2.20989620090197,NA,NA,2.67738395884474,NA,2.64756930588715,4.0309078821772
"A0A338P6K9",NA,NA,NA,NA,NA,NA,1.16891003938843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.826615758202199,0.626053865225421,2.52535231868826,2.51496260254922,1.98159623157229,2.2948802373586,3.2591067563914,NA,5.37321747652703,3.6316646841301,1.52340645114215,1.46976313244943,2.20200651445931,1.18339044929699,NA,2.13257128704984
"A0A571BF63",NA,NA,2.25681168731467,2.11315170501181,NA,3.75947184960057,3.02093144156791,1.62097382404328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A0A7N9VSG0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.57448461749581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.31343294259278,NA,NA,NA,NA,NA,NA,NA,NA,NA
